Title,Price,Rating,Link
"Sage Controllers PRO+ Controller compatible with PS5 Console & PC | Custommade Wireless PS5 Gaming Controller with 4 Back Paddles, Clicky Triggers & Bumpers | Monkey d Luffy | Professional gaming controller","11,700",5.0 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MzcxODAyMTI2OTI2MDI3OjE3NjY4Mzk3MzY6c3BfYXRmOjMwMDgxMDM1MzA1MTEzMjo6MDo6&url=%2FSage-Controllers-Controller-compatible-Professional%2Fdp%2FB09XJDF19K%2Fref%3Dsr_1_1_sspa%3Fcrid%3D302ZJMTZG1JP1%26dib%3DeyJ2IjoiMSJ9.LFVt-P4VfYSI0tw5J_cegSK92whhtXrjDDzVMLUNuoUyWAyl0alro9rXqt1W6QfStusKeNnr9n6AyemylpZDiV4etsU_GiEBjsQJILqtZoBhh9mIU4sTQThWQdqyf_3Rbv8b7bGG4NXQ2MIYDmKW-VxjcLTDgHvK1A28ekzLVzwtwbYngqmIvh1mIW5XfM7qCy6pyfXx-3tPAhLPd-I2YG2na4LYNKb6VZAp7kk6uo8.WmT5SrJt8I0tLWDA9J5QyFYh_wNoYH3UqQNzXewrIzk%26dib_tag%3Dse%26keywords%3Dplaystation%2B5%26qid%3D1766839736%26sprefix%3Dplaystation%2B%252Caps%252C369%26sr%3D8-1-spons%26aref%3DTZNp6TCQ71%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=TZNp6TCQ71&sp_cr=ZAZ
"Sage Controllers PRO+ Controller compatible with PS5 Console & PC | Custommade Wireless PS5 Gaming Controller with 4 Back Paddles, Clicky Triggers & Bumpers | Spider M Theme | Professional gaming controller (Pro+ with Hall Effect TMR)","14,000",5.0 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MzcxODAyMTI2OTI2MDI3OjE3NjY4Mzk3MzY6c3BfYXRmOjMwMDgxMDM1MzA1MTUzMjo6MDo6&url=%2FSage-Controllers-Pro-Hall-Effect%2Fdp%2FB0FVMCMDWR%2Fref%3Dsr_1_2_sspa%3Fcrid%3D302ZJMTZG1JP1%26dib%3DeyJ2IjoiMSJ9.LFVt-P4VfYSI0tw5J_cegSK92whhtXrjDDzVMLUNuoUyWAyl0alro9rXqt1W6QfStusKeNnr9n6AyemylpZDiV4etsU_GiEBjsQJILqtZoBhh9mIU4sTQThWQdqyf_3Rbv8b7bGG4NXQ2MIYDmKW-VxjcLTDgHvK1A28ekzLVzwtwbYngqmIvh1mIW5XfM7qCy6pyfXx-3tPAhLPd-I2YG2na4LYNKb6VZAp7kk6uo8.WmT5SrJt8I0tLWDA9J5QyFYh_wNoYH3UqQNzXewrIzk%26dib_tag%3Dse%26keywords%3Dplaystation%2B5%26qid%3D1766839736%26sprefix%3Dplaystation%2B%252Caps%252C369%26sr%3D8-2-spons%26aref%3DwbrKJRwOKb%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=wbrKJRwOKb&sp_cr=ZAZ
Sony PlayStation5 Gaming Console (Slim),"54,990",4.5 out of 5 stars,https://www.amazon.in/Sony-CFI-2008A01X-PlayStation%C2%AE5-Console-slim/dp/B0CY5HVDS2/ref=sr_1_3?crid=302ZJMTZG1JP1&dib=eyJ2IjoiMSJ9.LFVt-P4VfYSI0tw5J_cegSK92whhtXrjDDzVMLUNuoUyWAyl0alro9rXqt1W6QfStusKeNnr9n6AyemylpZDiV4etsU_GiEBjsQJILqtZoBhh9mIU4sTQThWQdqyf_3Rbv8b7bGG4NXQ2MIYDmKW-VxjcLTDgHvK1A28ekzLVzwtwbYngqmIvh1mIW5XfM7qCy6pyfXx-3tPAhLPd-I2YG2na4LYNKb6VZAp7kk6uo8.WmT5SrJt8I0tLWDA9J5QyFYh_wNoYH3UqQNzXewrIzk&dib_tag=se&keywords=playstation+5&qid=1766839736&sprefix=playstation+%2Caps%2C369&sr=8-3
Sony PlayStation®5 Digital Edition (slim) Console Video Game,"49,990",4.6 out of 5 stars,https://www.amazon.in/Sony-PlayStation%C2%AE5-Digital-Edition-slim/dp/B0CY5QW186/ref=sr_1_4?crid=302ZJMTZG1JP1&dib=eyJ2IjoiMSJ9.LFVt-P4VfYSI0tw5J_cegSK92whhtXrjDDzVMLUNuoUyWAyl0alro9rXqt1W6QfStusKeNnr9n6AyemylpZDiV4etsU_GiEBjsQJILqtZoBhh9mIU4sTQThWQdqyf_3Rbv8b7bGG4NXQ2MIYDmKW-VxjcLTDgHvK1A28ekzLVzwtwbYngqmIvh1mIW5XfM7qCy6pyfXx-3tPAhLPd-I2YG2na4LYNKb6VZAp7kk6uo8.WmT5SrJt8I0tLWDA9J5QyFYh_wNoYH3UqQNzXewrIzk&dib_tag=se&keywords=playstation+5&qid=1766839736&sprefix=playstation+%2Caps%2C369&sr=8-4
Sony DualSense Wireless Controller White (PlayStation 5),"4,890",4.2 out of 5 stars,https://www.amazon.in/DualSense-Wireless-Controller-PlayStation-White/dp/B08GZ6QNTC/ref=sr_1_5?crid=302ZJMTZG1JP1&dib=eyJ2IjoiMSJ9.LFVt-P4VfYSI0tw5J_cegSK92whhtXrjDDzVMLUNuoUyWAyl0alro9rXqt1W6QfStusKeNnr9n6AyemylpZDiV4etsU_GiEBjsQJILqtZoBhh9mIU4sTQThWQdqyf_3Rbv8b7bGG4NXQ2MIYDmKW-VxjcLTDgHvK1A28ekzLVzwtwbYngqmIvh1mIW5XfM7qCy6pyfXx-3tPAhLPd-I2YG2na4LYNKb6VZAp7kk6uo8.WmT5SrJt8I0tLWDA9J5QyFYh_wNoYH3UqQNzXewrIzk&dib_tag=se&keywords=playstation+5&qid=1766839736&sprefix=playstation+%2Caps%2C369&sr=8-5
PS5® Console - Fortnite Flowering Chaos Bundle,"54,990",,https://www.amazon.in/PS5%C2%AE-Console-Fortnite-Flowering-Bundle/dp/B0G66KXDKQ/ref=sr_1_6?crid=302ZJMTZG1JP1&dib=eyJ2IjoiMSJ9.LFVt-P4VfYSI0tw5J_cegSK92whhtXrjDDzVMLUNuoUyWAyl0alro9rXqt1W6QfStusKeNnr9n6AyemylpZDiV4etsU_GiEBjsQJILqtZoBhh9mIU4sTQThWQdqyf_3Rbv8b7bGG4NXQ2MIYDmKW-VxjcLTDgHvK1A28ekzLVzwtwbYngqmIvh1mIW5XfM7qCy6pyfXx-3tPAhLPd-I2YG2na4LYNKb6VZAp7kk6uo8.WmT5SrJt8I0tLWDA9J5QyFYh_wNoYH3UqQNzXewrIzk&dib_tag=se&keywords=playstation+5&qid=1766839736&sprefix=playstation+%2Caps%2C369&sr=8-6
PlayStation 5 Standard Edition Slim Gaming Console (Nordic),"54,990",4.4 out of 5 stars,https://www.amazon.in/PlayStation-5-Standard-Slim-Nordic/dp/B0CNKDMHPD/ref=sr_1_7?crid=302ZJMTZG1JP1&dib=eyJ2IjoiMSJ9.LFVt-P4VfYSI0tw5J_cegSK92whhtXrjDDzVMLUNuoUyWAyl0alro9rXqt1W6QfStusKeNnr9n6AyemylpZDiV4etsU_GiEBjsQJILqtZoBhh9mIU4sTQThWQdqyf_3Rbv8b7bGG4NXQ2MIYDmKW-VxjcLTDgHvK1A28ekzLVzwtwbYngqmIvh1mIW5XfM7qCy6pyfXx-3tPAhLPd-I2YG2na4LYNKb6VZAp7kk6uo8.WmT5SrJt8I0tLWDA9J5QyFYh_wNoYH3UqQNzXewrIzk&dib_tag=se&keywords=playstation+5&qid=1766839736&sprefix=playstation+%2Caps%2C369&sr=8-7
2K GAMES WWE 2K25 | Standard Edition | PlayStation 5,"2,760",4.0 out of 5 stars,https://www.amazon.in/2K-GAMES-2K25-Standard-PlayStation/dp/B0DY7HL3QK/ref=sr_1_8?crid=302ZJMTZG1JP1&dib=eyJ2IjoiMSJ9.LFVt-P4VfYSI0tw5J_cegSK92whhtXrjDDzVMLUNuoUyWAyl0alro9rXqt1W6QfStusKeNnr9n6AyemylpZDiV4etsU_GiEBjsQJILqtZoBhh9mIU4sTQThWQdqyf_3Rbv8b7bGG4NXQ2MIYDmKW-VxjcLTDgHvK1A28ekzLVzwtwbYngqmIvh1mIW5XfM7qCy6pyfXx-3tPAhLPd-I2YG2na4LYNKb6VZAp7kk6uo8.WmT5SrJt8I0tLWDA9J5QyFYh_wNoYH3UqQNzXewrIzk&dib_tag=se&keywords=playstation+5&qid=1766839736&sprefix=playstation+%2Caps%2C369&sr=8-8
PlayStation 5 Digital Edition Console,"47,990",4.7 out of 5 stars,https://www.amazon.in/PlayStation-5-Digital-Edition-Console/dp/B08FC6MR62/ref=sr_1_9?crid=302ZJMTZG1JP1&dib=eyJ2IjoiMSJ9.LFVt-P4VfYSI0tw5J_cegSK92whhtXrjDDzVMLUNuoUyWAyl0alro9rXqt1W6QfStusKeNnr9n6AyemylpZDiV4etsU_GiEBjsQJILqtZoBhh9mIU4sTQThWQdqyf_3Rbv8b7bGG4NXQ2MIYDmKW-VxjcLTDgHvK1A28ekzLVzwtwbYngqmIvh1mIW5XfM7qCy6pyfXx-3tPAhLPd-I2YG2na4LYNKb6VZAp7kk6uo8.WmT5SrJt8I0tLWDA9J5QyFYh_wNoYH3UqQNzXewrIzk&dib_tag=se&keywords=playstation+5&qid=1766839736&sprefix=playstation+%2Caps%2C369&sr=8-9
Bandai Namco Tekken 8 | Standard Edition | PlayStation 5,"2,999",4.2 out of 5 stars,https://www.amazon.in/Bandai-Namco-Tekken-Standard-PlayStation/dp/B0CKSX2S72/ref=sr_1_10?crid=302ZJMTZG1JP1&dib=eyJ2IjoiMSJ9.LFVt-P4VfYSI0tw5J_cegSK92whhtXrjDDzVMLUNuoUyWAyl0alro9rXqt1W6QfStusKeNnr9n6AyemylpZDiV4etsU_GiEBjsQJILqtZoBhh9mIU4sTQThWQdqyf_3Rbv8b7bGG4NXQ2MIYDmKW-VxjcLTDgHvK1A28ekzLVzwtwbYngqmIvh1mIW5XfM7qCy6pyfXx-3tPAhLPd-I2YG2na4LYNKb6VZAp7kk6uo8.WmT5SrJt8I0tLWDA9J5QyFYh_wNoYH3UqQNzXewrIzk&dib_tag=se&keywords=playstation+5&qid=1766839736&sprefix=playstation+%2Caps%2C369&sr=8-10
